,epoch,train_loss,RMSE,pearson,kendalltau,spearmanr
0,0,0.003634033491834998,0.6459237435,0.1131052411,0.0875267759,0.1307669011
1,1,0.2060483992099762,0.1957972967,-0.0111516163,0.0170578085,0.0255832043
2,2,0.019042445346713066,0.1615569273,-0.008190463,-0.019727385,-0.0297825246
3,3,0.013750887475907803,0.27784598,-0.0096978189,-0.0132889947,-0.0208239259
4,4,0.03923380374908447,0.2420673763,-0.0262475976,-0.0268724279,-0.0416238641
5,5,0.03000873699784279,0.1578745887,-0.0554835952,-0.0478757135,-0.0700998806
6,6,0.012628421187400818,0.0660616618,-0.0470581572,-0.071587834,-0.1073224514
7,7,0.002187129808589816,0.0530941243,0.0353898462,-0.0305627248,-0.0429378798
8,8,0.0014328834367915988,0.1040609958,0.0545754762,-0.0140741642,-0.0200147516
9,9,0.005503151565790176,0.1186410874,-0.0711185493,-0.0633828121,-0.0950196682
