,epoch,train_loss,RMSE,pearson,kendalltau,spearmanr
0,0,0.0013518015621230006,1.604010844,0.0609116285,0.0324278072,0.0484932951
1,1,1.104018211364746,0.4344005587,0.0410874403,0.0118153913,0.0190659622
2,2,0.09488135576248169,0.3024248046,0.0518705102,0.0261217769,0.0389320823
3,3,0.0458727702498436,0.3724135696,0.0423726939,0.0261778804,0.0379884596
4,4,0.06944341957569122,0.2192235624,0.0473770599,0.0315862551,0.0467408173
5,5,0.023921895772218704,0.0401085952,0.0541179785,0.0328093108,0.0511176492
6,6,0.0008097852696664631,0.1722377744,0.0532873418,0.0316535793,0.0485678201
7,7,0.01493119914084673,0.1859335459,0.054674151,0.0291064816,0.0453941426
8,8,0.01747141033411026,0.1114176121,0.0525980837,0.024169376,0.0368304594
9,9,0.006387199740856886,0.0459158872,0.051163833,0.017964332,0.0261455356
10,10,0.0010739569552242756,0.1092321953,0.0480404613,0.0127130469,0.0184027116
11,11,0.005725400522351265,0.1324899469,0.045734801,0.0116246395,0.0159040109
12,12,0.008434886112809181,0.1029905843,0.0446231398,0.0105811149,0.0146166894
13,13,0.0050810473039746284,0.0551362536,0.0433229363,0.0101435079,0.0148515739
14,14,0.0014983348082751036,0.0619849591,0.0451166664,0.0115573154,0.0170713476
15,15,0.0020618608687072992,0.0923273935,0.0469340562,0.0138351164,0.0209864687
16,16,0.004480866715312004,0.0936128789,0.0471386397,0.0141605165,0.0212326348
17,17,0.004601580556482077,0.0698337948,0.0442802019,0.0114675498,0.0169799002
18,18,0.0025970384012907743,0.0477703969,0.0400587318,0.0073158928,0.0104005782
19,19,0.0011893237242475152,0.0596302164,0.0370165297,0.0058908646,0.0076088068
20,20,0.001701126340776682,0.0773169257,0.0364047833,0.0054083748,0.0069161851
21,21,0.002827597549185157,0.0785035393,0.0366774045,0.0055879059,0.0076601574
22,22,0.0029084531124681234,0.0641346007,0.0375968208,0.0064406787,0.0088714255
23,23,0.0019346826011314988,0.0470315949,0.039262907,0.0086960383,0.0112741773
24,24,0.001065904856659472,0.0471123622,0.0407407402,0.008998997,0.0120039503
25,25,0.0011493274942040443,0.0571828605,0.0434549699,0.0111870325,0.0153897825
26,26,0.0017184450989589095,0.0592684292,0.0456316388,0.0126569434,0.0177985641
27,27,0.0018436089158058167,0.0519874182,0.0473884606,0.0129486815,0.0188389137
28,28,0.0014099199324846268,0.0424566776,0.0471662834,0.0128028125,0.018417272
29,29,0.000906095199752599,0.0416685229,0.0481666101,0.0120734673,0.0171718258
30,30,0.0008067933958955109,0.0482519103,0.0486214597,0.0112543566,0.0161338381
31,31,0.001049352460540831,0.0516219841,0.0489570658,0.011938819,0.0169545027
32,32,0.0011935692746192217,0.0489200736,0.0505966453,0.0126569434,0.0185718518
33,33,0.0010649767937138677,0.0421602538,0.0518869964,0.0140483096,0.0209375912
34,34,0.0007888049003668129,0.0369841517,0.0532762032,0.0149459651,0.0225207898
35,35,0.0006250402657315135,0.0372008491,0.0545438577,0.0167188349,0.0250538355
36,36,0.0006691736052744091,0.0397381031,0.0559681998,0.0185365874,0.0274810955
37,37,0.0007882394129410386,0.040090521,0.0569404707,0.0195352292,0.0288651995
38,38,0.0008052692282944918,0.0373844203,0.0574402974,0.0196362154,0.0288888186
39,39,0.0006862179725430906,0.034096314,0.0575701882,0.0191873877,0.0281933904
40,40,0.000542137015145272,0.0333975727,0.0571283655,0.0187946633,0.0273322677
41,41,0.0004874350852333009,0.0353080056,0.0572453952,0.0183233942,0.0269459157
42,42,0.0005265875952318311,0.0370224597,0.058094472,0.0188171047,0.0273778664
43,43,0.0005737388855777681,0.0365879912,0.059043658,0.0196249947,0.0282471585
44,44,0.0005570254288613796,0.0341560651,0.0601007916,0.0205675331,0.0297704759
45,45,0.0004828129312954843,0.0313838732,0.0611620467,0.02229552,0.0322981031
46,46,0.0004110972804483026,0.0299436809,0.0625779715,0.0238551966,0.0341018758
47,47,0.00038768479134887457,0.029992786,0.0646175909,0.026043232,0.0371868569
48,48,0.00040614535100758076,0.0302356039,0.065293499,0.0273560533,0.0386425961
49,49,0.00042204122291877866,0.0297409966,0.066262251,0.0282537088,0.0401939229
50,50,0.00040683880797587335,0.0285704272,0.0680792301,0.029790944,0.0425175093
51,51,0.00036452928907237947,0.0276929371,0.0700731108,0.0312047515,0.0447719335
52,52,0.0003263865946792066,0.0278191221,0.0720852945,0.0328205315,0.0469064841
53,53,0.0003151883138343692,0.028540116,0.0734084898,0.0339313803,0.0488523324
